name,transaction_type,parent_category
Academia,,Saúde
Acessórios,,Roupa
Alimento,,
Aniversário,,Presente
Aplicativo,,Transporte
Assinaturas,,
Aúdio,,Pessoal
Barzinhos,,Saídas
Cafeterias,,Saídas
Cartas,,Hobbie
Celular e Acessórios,,Pessoal
Cinema,,Entretenimento
Compras,,
Computador & Periféricos,,Pessoal
Doces,,Alimento
Entretenimento,,Pessoal
Escritório & Papelaria,,Pessoal
Estacionamento,,Transporte
Farmácia,,Saúde
Física,,Compras
Hobbie,,Pessoal
Jogos,,Entretenimento
LLM,,Assinaturas
Livros,,Entretenimento
Natal,,Presente
Objetos,,Saúde
Online,,Compras
Operações Financeiras,,
Outras Coisas,,Pessoal
Outros Itens,,Farmácia
Pessoal,,
Presente,,
Remédios,,Farmácia
Restaurantes,,Saídas
Roupa,,Pessoal
Salgados,,Alimento
Saídas,,Pessoal
Saúde,,
Serviços,,Assinaturas
Streaming,,Assinaturas
Supermercado,,
Transporte,,
Álcool,,Alimento
