pattern,category
UBER,Aplicativo
99 RIDE,Aplicativo
99APP,Aplicativo
ESTACIONAMENTO,Estacionamento
HORA PARK,Estacionamento
CLARO PARKING,Estacionamento
AUTO VIP ESTACIONAMENT,Estacionamento
POA PARKING,Estacionamento
PAG PARQUE,Estacionamento
CLAUDE.AI,LLM
LIVRARIA,Livros
ESPACO CULTURAL LIVRAR,Livros
RESTAURANTE,Restaurantes
HAMBURGUERIA,Restaurantes
SUSHI,Restaurantes
BURRITO,Restaurantes
PIZZERIA,Restaurantes
OUTBACK,Restaurantes
MADERO,Restaurantes
MC DONALD,Restaurantes
ARCOS DOURADOS,Restaurantes
DIVINOFOGAO,Restaurantes
MINI KALZONE,Restaurantes
FARRA FOOD,Restaurantes
RANCHO TEXANO,Restaurantes
CEOPAG *PANORAMA RESTA,Restaurantes
FARMACIA,Farmácia
FARMA,Farmácia
PANVEL,Farmácia
RAIA,Farmácia
DIMED,Farmácia
IOF,Operações Financeiras
SEGURO CARTAO,Operações Financeiras
SEG CART,Operações Financeiras
PARCELAMENTO DE FATURA,Operações Financeiras
SUA ACADEMIA,Academia
SMILES CLUBE,Assinaturas
MELIMAIS,Assinaturas
IFOOD CLUB,Assinaturas
JORNAL ZERO HORA,Assinaturas
YOUTUBEPREMIUM,Streaming
YOUTUB,Streaming
PAG*STEAM,Jogos
CHESS.COM,Assinaturas
ESPACO DE CINEMA,Cinema
ZAFFARI,Supermercado
BOURBON IPIRANGA,Supermercado
BOURBON COUNTRY,Supermercado
M BRASCO,Supermercado
DOCERIA,Doces
GELATERIA,Doces
CONFEITARIA,Doces
DOCES,Doces
TM COFFEE,Cafeterias
BM CAFES,Cafeterias
CAFETERI,Cafeterias
PITOSBAR,Barzinhos
CHOPERIA,Barzinhos
LOUNGE,Barzinhos
BAR VAGUE,Barzinhos
POSTO NINHO,Transporte
POSTO UNIVERSITARIO,Transporte
ABASTECEDORA,Transporte
C A MODAS,Roupa
HM - PRAIA,Roupa
MODA PRAIA,Roupa
CAMISETAS,Roupa
PLAYA PARIS,Roupa
BELLA DOCE,Doces
ALFAJORES,Doces
