name,transaction_type,parent_category
Academia,,Saúde
Alimento,,
Aniversário,,Presente
Aplicativo Comida,,Alimento
Aplicativo Transporte,,Transporte
Assinaturas,,
Aúdio,,Pessoal
Barzinhos,,Saídas
Bebida,,Alimento
Benefícios,,Trabalho
Cafeterias,,Saídas
Cartas,,Hobbie
Celular e Acessórios,,Pessoal
Cinema,,Entretenimento
Compras,,
Computador & Periféricos,,Pessoal
Cursos,,Educação
Doação,,Pessoal
Doces,,Alimento
Educação,,
Entretenimento,,Pessoal
Escritório & Papelaria,,Pessoal
Estacionamento,,Transporte
Farmácia,,Saúde
Física,,Compras
Hobbie,,Pessoal
Jogos,,Entretenimento
LLM,,Assinaturas
Livros,,Entretenimento
Natal,,Presente
Objetos,,Saúde
Online,,Compras
Operações Financeiras,,
Outras Coisas,,Pessoal
Outros Itens,,Farmácia
Pessoal,,
Presente,,
Remédios,,Farmácia
Restaurantes,,Saídas
Roupas & Acessórios,,Pessoal
Salgados,,Alimento
Salário,,Trabalho
Saídas,,Pessoal
Saúde,,
Serviços,,Assinaturas
Streaming,,Assinaturas
Supermercado,,
Trabalho,,
Transporte,,
Tênis & Sapatos & Chinelos,,Roupas & Acessórios
Álcool,,Alimento
